Unable to load module hid, required to interface with SpaceMouse.

           Only macOS is officially supported. Install the additional

           requirements with `pip install -r requirements-extra.txt`
v: 0.06309094876098843, marker: Flat_top_site_3, dist: -0.00022277597211036582, 
v: 0.1130835948096909, marker: Flat_top_site_4, dist: -0.000323439930605817, 
v: 0.16308074998172847, marker: Flat_top_site_5, dist: -0.00042410388910126814, 
v: 0.21307924022326463, marker: Flat_top_site_6, dist: -0.0005247678475967194, 
v: 0.26307830433854557, marker: Flat_top_site_7, dist: -0.0006254318060921704, 
v: 0.3130776673816979, marker: Flat_top_site_8, dist: -0.0007260957645876216, 
v: 0.03731496496280672, marker: Flat_top_site_1, dist: -2.0446172451208086e-05, 
v: 0.012800553635717941, marker: Flat_top_site_2, dist: -0.00012396906796786404, 
v: 0.0627319833624467, marker: Flat_top_site_3, dist: -0.00022749196348451994, 
v: 0.11272421789390108, marker: Flat_top_site_4, dist: -0.0003310148590011758, 
v: 0.1627212243777593, marker: Flat_top_site_5, dist: -0.00043453775451783176, 
v: 0.212719638083094, marker: Flat_top_site_6, dist: -0.0005380606500344876, 
v: 0.2627186555793248, marker: Flat_top_site_7, dist: -0.0006415835455511435, 
v: 0.31271798725467215, marker: Flat_top_site_8, dist: -0.0007451064410677995, 
v: 0.03765483402716816, marker: Flat_top_site_1, dist: -2.048015019763625e-05, 
v: 0.012467979698931493, marker: Flat_top_site_2, dist: -0.00012665819757757494, 
v: 0.062394026235949494, marker: Flat_top_site_3, dist: -0.00023283624495751357, 
v: 0.11238584653812837, marker: Flat_top_site_4, dist: -0.0003390142923374522, 
v: 0.16238270380262526, marker: Flat_top_site_5, dist: -0.00044519233971739084, 
v: 0.21238104078850945, marker: Flat_top_site_6, dist: -0.0005513703870973295, 
v: 0.2623800115835234, marker: Flat_top_site_7, dist: -0.0006575484344772681, 
v: 0.3123793118481589, marker: Flat_top_site_8, dist: -0.0007637264818572069, 
v: 0.03797683156327819, marker: Flat_top_site_1, dist: -2.0122616336017238e-05, 
v: 0.012153345213772461, marker: Flat_top_site_2, dist: -0.0001288587454091805, 
